CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE
0,202500,1907010,66415.5,1741500
0,135000,675000,36747,675000
0,315000,405000,21969,405000
0,92250,130320,13815,112500
0,279000,630000,32296.5,630000
0,87750,156384,11821.5,135000
0,144000,981360,31788,720000
2,180000,269982,32170.5,238500
0,126000,165915,10278,126000
0,180000,67500,8140.5,67500
0,112500,312768,24709.5,270000
1,225000,400392,42174,360000
0,180000,328405.5,26077.5,283500
0,180000,831730.5,30006,702000
0,99000,450000,23008.5,450000
0,135000,450000,23107.5,450000
0,45000,526491,24525,454500
2,202500,481176,24696,360000
0,202500,781920,39924,675000
0,67500,111384,9058.5,90000
1,112500,735579,32400,585000
1,252000,402214.5,22459.5,328500
1,225000,323460,23134.5,270000
0,175500,315000,25015.5,315000
0,180000,1525482,63085.5,1363500
1,112500,180000,14220,180000
1,67500,296280,21559.5,225000
2,144000,225000,17905.5,225000
0,135000,900000,29034,900000
0,495000,691551,54769.5,625500
1,67500,450000,14517,450000
0,135000,675000,27229.5,675000
0,180000,156384,18688.5,135000
0,135000,364500,13221,364500
0,90000,224149.5,22297.5,193500
0,180000,225000,20637,225000
0,157500,571486.5,24340.5,454500
2,112500,136287,8847,103500
0,202500,697500,33687,697500
0,315000,1096020,56092.5,900000
1,360000,1024740,52452,900000
1,135000,276277.5,17784,238500
1,90000,276277.5,17784,238500
0,180000,1055655,38047.5,891000
0,202500,585000,29997,585000
1,202500,450000,14517,450000
0,112500,625536,31936.5,540000
2,67500,234576,20263.5,202500
1,135000,1024740,49428,900000
0,202500,67500,7218,67500
0,157500,720000,30505.5,720000
0,180000,118512,7573.5,90000
0,189000,260640,25906.5,225000
1,112500,675000,34596,675000
0,225000,573408,29407.5,495000
0,90000,202500,13068,202500
0,112500,599778,27792,477000
2,112500,481176,23148,360000
0,315000,625536,32067,540000
2,180000,675000,21775.5,675000
1,270000,500490,59526,450000
0,180000,199152,10296,135000
1,112500,601470,30838.5,450000
0,90000,257391,27157.5,238500
1,157500,900000,55062,900000
0,135000,497520,39307.5,450000
0,90000,332946,16146,238500
0,180000,225000,23755.5,225000
2,333000,582804,29884.5,463500
1,81000,375408,29790,297000
0,193500,450000,22977,450000
0,180000,174132,18414,157500
0,202500,454500,17262,454500
0,180000,400392,41157,360000
0,90000,157500,11457,157500
1,112500,358344,28440,283500
0,112500,202500,16128,202500
0,63000,112500,12244.5,112500
0,135000,547344,26460,472500
2,211500,135000,14305.5,135000
0,180000,460692,19363.5,301500
2,81000,1024740,49428,900000
0,135000,755550,30465,562500
0,99000,186700.5,8982,186700.5
1,157500,525735,48348,450000
0,157500,651960,27535.5,450000
1,225000,1024740,52452,900000
1,99000,431280,22149,360000
0,337500,675000,69165,675000
0,94500,104256,11358,90000
0,112500,450000,35554.5,450000
0,135000,407520,24930,360000
0,225000,573408,31234.5,495000
0,225000,717021,52308,612000
3,225000,1085058,52330.5,891000
0,157500,305640,33043.5,270000
1,135000,252000,11227.5,252000
1,94500,364896,22450.5,315000
2,67500,343800,11871,225000
1,135000,405000,37273.5,405000
0,292500,270000,17253,270000
1,180000,622413,30073.5,495000
0,198000,378706.5,19336.5,306000
1,90000,272520,16803,225000
0,157500,180000,14350.5,180000
0,216000,502497,36693,454500
0,112500,311877,15003,252000
0,90000,314055,13329,238500
1,81000,225000,27994.5,225000
0,135000,500490,52686,450000
0,81000,318069,25632,265500
0,157500,292500,34843.5,292500
0,171000,171000,13360.5,171000
0,135000,509400,28444.5,450000
0,67500,334152,14287.5,270000
0,225000,248760,25618.5,225000
2,157500,500490,52686,450000
0,126000,521568,22054.5,360000
0,135000,395766,20335.5,283500
0,90000,817560,30951,675000
0,202500,225000,22383,225000
0,202500,1350000,41904,1350000
1,202500,407520,26041.5,360000
0,81000,378706.5,16173,306000
1,540000,500490,59526,450000
0,90000,225000,13896,225000
2,225000,848745,43465.5,675000
1,112500,93829.5,9981,81000
0,90000,248760,26919,225000
0,157500,1024740,55719,900000
1,180000,505233,21537,378000
0,63000,83538,6592.5,67500
1,180000,675000,21906,675000
0,360000,900000,45954,900000
2,67500,256185,23625,207000
0,225000,1157958,49189.5,1035000
0,112500,552555,24466.5,477000
0,90000,450000,14517,450000
1,315000,781920,42547.5,675000
0,225000,525735,36720,450000
0,112500,598500,19435.5,450000
1,112500,296280,23539.5,225000
2,450000,675000,53460,675000
0,180000,790830,52978.5,675000
0,162000,495000,27769.5,495000
0,135000,272520,16803,225000
0,112500,675000,38880,675000
0,90000,360000,25731,360000
0,157500,1024740,55719,900000
0,81000,199008,19683,180000
0,157500,360000,28440,360000
0,225000,472500,37462.5,472500
0,202500,254700,20119.5,225000
0,67500,225000,17905.5,225000
0,90000,550980,30897,450000
0,90000,550980,43659,450000
0,112500,206059.5,17815.5,166500
0,157500,225000,17775,225000
0,202500,135000,14175,135000
2,103500,218938.5,22563,189000
0,135000,119893.5,13041,103500
0,206100,237024,12231,180000
0,247500,929088,37431,720000
0,270000,2013840,62640,1800000
0,112500,537471,58014,495000
2,103500,407520,29655,360000
0,135000,103500,10998,103500
1,112500,900000,29034,900000
0,189000,276277.5,16902,238500
0,153747,135000,6750,135000
0,117000,330804,14035.5,202500
3,90000,769527,32733,612000
0,103500,453366,29101.5,400500
0,180000,315000,33205.5,315000
2,180000,1208304,54031.5,1080000
0,58500,58500,6939,58500
1,202500,272520,21658.5,225000
0,270000,547344,28075.5,472500
0,180000,267102,27499.5,247500
0,126000,245268,19507.5,202500
0,90000,360000,15264,360000
0,135000,440784,27094.5,360000
0,67500,98109,7267.5,81000
1,234000,552555,30105,477000
0,180000,225000,22252.5,225000
0,171000,675000,25578,675000
0,135000,135000,16020,135000
1,90000,177768,7960.5,135000
8,180000,389844,18751.5,315000
1,135000,675000,36747,675000
0,90000,248760,25618.5,225000
0,202500,906660,34308,675000
0,112500,424255.5,33646.5,346500
0,157500,543037.5,30451.5,463500
0,157500,218016,17352,180000
0,94500,174132,20664,157500
1,216000,163512,10449,135000
1,157500,468333,30060,382500
0,675000,941580,98874,900000
0,157500,272520,21528,225000
1,225000,432990,34339.5,382500
1,261000,1030680,63184.5,900000
0,337500,1350000,43681.5,1350000
0,90000,420498,20358,351000
0,180000,135000,11583,135000
0,112500,460692,17496,301500
0,360000,225000,10822.5,225000
0,144000,769896,61857,720000
0,135000,670500,38623.5,670500
0,112500,407520,32328,360000
1,292500,393543,20223,328500
0,225000,986418,45837,810000
0,360000,819000,39532.5,819000
1,247500,1094688,39451.5,945000
0,90000,539100,26064,450000
1,135000,509400,32683.5,450000
0,135000,265500,17869.5,265500
0,360000,958225.5,92529,904500
2,157500,1575000,65128.5,1575000
2,121500,172597.5,8433,117000
0,94500,265500,16965,265500
1,202500,112500,11812.5,112500
0,135000,454500,19386,454500
0,171000,407520,32328,360000
0,225000,729792,39721.5,630000
1,189000,1354500,47209.5,1354500
0,162000,332946,17127,238500
0,216000,539100,22968,450000
2,180000,481176,24696,360000
0,112500,296280,23539.5,225000
2,180000,450000,23107.5,450000
2,126000,289597.5,14062.5,234000
3,315000,738108,45283.5,630000
0,72000,225000,14508,225000
0,166500,431280,22149,360000
2,180000,195543,13198.5,148500
0,247500,1107612,47677.5,990000
0,90000,360000,18378,360000
0,180000,88618.5,10021.5,76500
0,157500,247500,19683,247500
1,382500,2156400,67063.5,1800000
0,180000,632664,46165.5,540000
1,112500,202500,10467,202500
0,180000,454500,36040.5,454500
0,148500,1350000,41904,1350000
0,225000,817560,30951,675000
0,90000,479799,24628.5,400500
1,157500,112500,11943,112500
0,103500,404325,20772,337500
1,90000,360000,18508.5,360000
0,301500,630000,32296.5,630000
1,135000,300046.5,10246.5,196366.5
1,135000,269982,28480.5,238500
0,292500,1800000,56002.5,1800000
0,135000,172021.5,18193.5,148500
0,112500,225000,23184,225000
0,135000,382050,27801,337500
0,94500,1226700,39703.5,900000
0,292500,495000,25402.5,495000
1,112500,225000,16132.5,225000
0,90000,786528,43915.5,720000
0,157500,522396,29299.5,472500
0,270000,646389,31225.5,558000
1,225000,823882.5,86512.5,787500
0,360000,675000,29862,675000
0,54000,292500,23238,292500
0,112500,314055,13329,238500
0,103500,675000,21775.5,675000
0,112500,195543,14359.5,148500
0,103500,454500,17131.5,454500
0,135000,225000,22050,225000
2,112500,479700,51790.5,450000
0,135000,900000,57649.5,900000
1,112500,622413,33894,495000
0,315000,1800000,74416.5,1800000
0,135000,420588,32679,360000
1,180000,234000,12825,234000
0,157500,345510,17770.5,247500
0,67500,572292,23107.5,472500
0,117000,225000,23184,225000
1,202500,712944,36531,567000
0,56700,67500,7087.5,67500
0,292500,573408,24421.5,495000
2,162000,257391,25204.5,238500
0,202500,630000,32296.5,630000
1,112500,260640,26838,225000
0,135000,104256,11074.5,90000
0,157500,301896,23490,252000
0,180000,1741972.5,54198,1557000
0,202500,247500,12037.5,247500
1,157500,490482,58338,441000
0,45000,539100,23877,450000
0,225000,162000,17577,162000
0,202500,225000,23625,225000
0,135000,90000,9693,90000
0,81000,161595,17095.5,139500
1,121500,531706.5,23548.5,459000
0,135000,577741.5,21910.5,477000
0,337500,675000,53329.5,675000
1,135000,135000,14175,135000
1,180000,630000,32166,630000
1,112500,750816,24349.5,594000
1,225000,922365,33259.5,778500
1,76500,163512,13045.5,135000
3,81000,675000,37822.5,675000
0,175500,248760,29650.5,225000
0,202500,848745,43465.5,675000
1,270000,225000,27994.5,225000
0,360000,2013840,62640,1800000
0,108000,104256,8064,90000
0,288000,260640,31059,225000
1,157500,442062,22698,369000
0,90000,118512,8752.5,90000
0,157500,539100,26064,450000
0,157500,495000,25272,495000
0,112500,334152,17190,270000
0,90000,225000,14377.5,225000
0,202500,260640,27369,225000
0,85500,149256,17842.5,135000
2,157500,238500,12177,238500
0,112500,225000,14508,225000
1,180000,90000,7110,90000
1,211500,341280,21937.5,270000
0,202500,360000,28570.5,360000
0,315000,1451047.5,59881.5,1354500
0,153000,454500,19386,454500
0,135000,539100,27652.5,450000
0,112500,239476.5,22095,193500
0,112500,553581,31041,472500
0,90000,292500,15997.5,292500
3,63000,99504,10575,90000
1,157500,254799,16411.5,193500
2,180000,509400,40374,450000
0,121500,162000,14854.5,162000
0,135000,537471,56569.5,495000
0,112500,165915,13239,126000
2,387000,218938.5,26113.5,189000
2,45000,225000,11619,225000
0,247500,502497,39829.5,454500
0,54000,418743,25749,342000
1,148500,111384,8748,90000
0,57150,136260,8334,112500
0,157500,323194.5,25663.5,279000
0,202500,622575,23598,463500
1,54000,450000,16164,450000
0,58500,99000,10273.5,99000
0,135000,517536,21487.5,432000
0,180000,259794,27409.5,229500
0,360000,440784,34956,360000
1,144000,523431,35109,427500
2,252000,301464,19395,238500
0,157500,535306.5,25884,400500
0,54000,118512,9490.5,90000
1,135000,207396,16515,157500
0,180000,254700,18531,225000
0,171000,732915,79065,675000
0,90000,248877,12834,189000
1,157500,509400,37197,450000
1,270000,964575,31243.5,675000
0,225000,431730,46494,405000
1,112500,431280,22149,360000
1,207000,332946,14665.5,238500
2,225000,688500,35284.5,688500
0,67500,225000,9589.5,225000
0,216000,272520,21658.5,225000
1,270000,270000,13500,270000
0,247500,601470,25614,450000
2,202500,378706.5,18346.5,306000
0,112500,538389,37602,477000
2,225000,180000,21361.5,180000
3,180000,440784,34956,360000
0,162000,108000,11340,108000
1,234000,1096020,59589,900000
0,180000,315000,16213.5,315000
0,180000,603000,32841,603000
1,90000,675000,24376.5,675000
0,202500,929088,33502.5,720000
0,202500,783927,42655.5,688500
0,117000,278460,21676.5,225000
1,90000,585000,41733,585000
0,112500,1079581.5,55251,886500
0,270000,675000,45108,675000
0,112500,634662,24057,472500
0,112500,643500,50971.5,643500
1,54000,315000,25015.5,315000
2,180000,156384,16551,135000
0,315000,969979.5,49657.5,796500
0,135000,104256,10813.5,90000
0,157500,291114,22657.5,243000
1,112500,1035000,33516,1035000
0,225000,257391,29241,238500
2,148500,599778,30753,477000
2,112500,900000,45954,900000
0,81000,166810.5,17221.5,144000
0,202500,643500,50971.5,643500
1,193500,495000,23944.5,495000
0,180000,278460,20947.5,225000
0,254700,773955,29308.5,639000
0,360000,781920,40054.5,675000
0,144000,360000,40846.5,360000
3,225000,622413,33894,495000
1,157500,167076,12010.5,135000
0,180000,746280,54306,675000
1,360000,539100,27652.5,450000
2,90000,502497,28188,454500
0,135000,135000,10575,135000
0,180000,450000,23107.5,450000
1,225000,543037.5,33349.5,463500
0,36000,360000,15264,360000
0,117000,547344,24237,472500
1,270000,550980,35343,450000
0,180000,454500,36040.5,454500
0,67500,67500,5220,67500
0,360000,690313.5,35374.5,549000
0,117000,450000,21649.5,450000
2,405000,450000,35685,450000
1,202500,543037.5,31302,463500
0,157500,454500,23337,454500
0,112500,479799,24628.5,400500
0,90000,331920,17077.5,225000
1,121500,296280,19930.5,225000
0,202500,568800,20560.5,450000
0,47250,431280,22149,360000
1,135000,1066320,38430,900000
0,81000,225000,11619,225000
0,187398,1125000,47794.5,1125000
0,135000,885046.5,33493.5,747000
0,135000,360000,18378,360000
0,247500,1800000,56002.5,1800000
0,360000,295776,18225,234000
1,247500,203301,21892.5,175500
0,54000,450000,19066.5,450000
1,90000,66829.5,6259.5,54000
2,157500,1107900,35739,900000
0,90000,272520,18342,225000
1,90000,296280,14382,225000
1,225000,997110,32166,810000
0,180000,1350000,42034.5,1350000
0,225000,450000,32877,450000
0,234000,503266.5,57046.5,463500
1,135000,539100,27652.5,450000
0,58500,55692,4594.5,45000
0,153000,450000,32877,450000
0,315000,790830,62613,675000
0,202500,500211,35703,463500
1,130500,729792,37390.5,630000
0,270000,135000,14539.5,135000
0,112500,360000,23134.5,360000
0,270000,270000,15498,270000
4,112500,573408,29407.5,495000
0,157500,266652,17172,202500
0,99000,260640,18270,225000
0,270000,1107900,35739,900000
0,270000,535306.5,29038.5,400500
0,135000,100737,6291,76500
0,202500,291915,18783,252000
1,148500,742500,26797.5,742500
2,135000,526500,27013.5,526500
1,117000,601470,30708,450000
0,157500,166810.5,17514,144000
0,180000,272520,16672.5,225000
0,270000,1779030,55350,1485000
0,103500,332946,16146,238500
0,135000,247500,17599.5,247500
0,225000,450000,32877,450000
0,135000,499500,36346.5,499500
0,103500,112500,6412.5,112500
0,247500,439740,22581,315000
0,45000,49752,5224.5,45000
1,360000,157500,16537.5,157500
1,292500,746280,54436.5,675000
1,270000,1639057.5,67639.5,1530000
0,135000,1993702.5,62014.5,1782000
3,202500,360000,26194.5,360000
0,135000,266652,21195,202500
0,225000,315000,31153.5,315000
2,90000,332946,17127,238500
0,306000,179865,11133,148500
0,144000,182448,18823.5,157500
0,94500,296280,18256.5,225000
0,211500,550980,30897,450000
0,135000,1022022,43429.5,913500
2,139500,208512,21892.5,180000
1,112500,427500,27450,427500
0,135000,260640,26838,225000
0,135000,187659,17338.5,162000
0,157500,799299,33993,702000
0,225000,450000,35554.5,450000
1,261000,792162,40576.5,630000
0,225000,876078,53725.5,765000
1,405000,1800000,55872,1800000
1,112500,218016,14062.5,180000
0,180000,420588,38704.5,360000
0,225000,450000,25128,450000
0,121500,62554.5,6867,54000
0,157500,248760,25618.5,225000
0,180000,547344,23319,472500
1,225000,495000,31635,495000
0,112500,537322.5,42583.5,486000
0,112500,312840,24714,247500
0,90000,746703,28278,616500
1,99000,677664,34731,585000
0,157500,135000,6750,135000
0,103500,781920,42417,675000
0,40500,234000,9967.5,234000
1,202500,450000,32746.5,450000
1,112500,450000,23107.5,450000
0,74250,312840,18090,247500
1,135000,238500,13819.5,238500
0,157500,450000,19048.5,450000
0,225000,360000,36886.5,360000
1,135000,675000,25447.5,675000
0,90000,594121.5,30465,472500
0,180000,675000,21775.5,675000
0,99000,266652,19534.5,202500
0,180000,450000,14517,450000
0,225000,450000,28890,450000
0,157500,521568,22054.5,360000
0,135000,1024740,52452,900000
0,180000,781920,42547.5,675000
0,607500,1272456,53910,1080000
0,180000,338832,26901,292500
0,211500,817560,30951,675000
1,202500,387144,30717,342000
2,135000,526837.5,18121.5,337500
1,157500,495000,25272,495000
0,45000,182448,18823.5,157500
1,135000,601029,47614.5,513000
0,382500,595386,25222.5,513972
0,112500,237024,11403,180000
0,175500,296280,18256.5,225000
0,225000,1457734.5,81526.5,1318500
1,247500,420588,32679,360000
0,112500,573408,29277,495000
1,157500,550980,43659,450000
0,112500,1024740,52452,900000
1,103500,119893.5,14355,103500
0,202500,945000,54882,945000
0,225000,478800,16479,360000
0,135000,500490,48888,450000
0,72000,296280,15255,225000
0,157500,440784,28300.5,360000
0,292500,1885536,103455,1800000
1,315000,479700,50503.5,450000
0,225000,728460,62523,675000
0,58500,192024,8068.5,135000
1,112500,225000,17905.5,225000
1,112500,156384,16551,135000
1,157500,675000,28728,675000
1,103500,307152,18918,243000
0,135000,225000,17775,225000
0,81000,360000,18508.5,360000
0,247500,900000,36135,900000
0,135000,711454.5,56340,643500
0,135000,319500,16335,319500
1,157500,118512,8622,90000
0,103500,573408,29407.5,495000
0,112500,296280,19062,225000
1,112500,225000,23755.5,225000
0,202500,149256,17712,135000
0,108000,74628,8568,67500
1,180000,1296000,53613,1296000
2,337500,1800000,55872,1800000
1,90000,601470,30838.5,450000
0,81000,252531,25105.5,234000
1,180000,817560,30951,675000
1,135000,338832,26901,292500
0,315000,481176,23278.5,360000
0,117000,126000,5427,126000
0,180000,646749,24511.5,481500
1,157500,435276,34519.5,355500
0,85500,568800,20560.5,450000
0,112500,156384,18688.5,135000
1,225000,224149.5,23665.5,193500
0,112500,156384,16155,135000
0,63000,526491,23319,454500
0,112500,202500,10467,202500
0,450000,810000,35680.5,810000
0,180000,761872.5,53154,675000
1,157500,415408.5,41215.5,373500
0,225000,454500,45081,454500
1,202500,225000,25447.5,225000
0,90000,337500,25362,337500
1,450000,758214,38844,603000
0,126000,52128,5602.5,45000
0,162000,450000,25258.5,450000
0,135000,260640,26838,225000
1,292500,454500,20020.5,454500
0,135000,450000,35554.5,450000
1,202500,600988.5,58675.5,553500
0,112500,480469.5,46935,432000
0,193500,550980,43659,450000
1,180000,479700,57060,450000
1,90000,504000,16258.5,504000
2,112500,451102.5,23161.5,337500
0,157500,781920,33259.5,675000
2,202500,260640,31059,225000
1,135000,144000,7362,144000
0,135000,285723,26334,238500
0,103500,225000,26833.5,225000
0,180000,601470,32760,450000
1,135000,522396,38142,472500
0,157500,432000,22185,432000
2,135000,220536,9400.5,135000
0,171000,686749.5,26019,567000
0,157500,296280,23409,225000
0,225000,278460,21676.5,225000
1,117000,550980,43659,450000
0,450000,761872.5,59089.5,675000
1,112500,523152,42075,463500
0,225000,1723500,53626.5,1723500
0,157500,320382,15543,229500
0,81000,135000,13351.5,135000
1,171000,1091677.5,39343.5,846000
1,99000,250614,18868.5,202500
0,90000,599778,30753,477000
0,117000,260640,26838,225000
1,112500,126000,13230,126000
1,36000,104256,10813.5,90000
0,45000,360000,18508.5,360000
0,279000,810000,41355,810000
0,270000,450000,23107.5,450000
1,171000,450000,47385,450000
0,94500,78192,8140.5,67500
1,90000,225000,23053.5,225000
1,45000,157500,9634.5,157500
0,135000,799299,35338.5,702000
0,121500,315000,13239,315000
0,157500,319041,23215.5,270000
0,157500,555939,21087,459000
0,67500,431280,20745,360000
2,180000,156384,16551,135000
0,180000,495000,25402.5,495000
0,337500,339633,31279.5,283500
1,360000,345384,36396,324000
1,315000,526837.5,18121.5,337500
0,90000,174132,18283.5,157500
1,157500,550980,43659,450000
0,180000,512446.5,28741.5,463500
1,130500,1037128.5,44073,927000
0,117000,260640,19615.5,225000
0,108000,568800,20430,450000
0,112500,223884,22270.5,202500
0,261000,336204,35433,297000
0,157500,900000,48955.5,900000
0,76500,208512,20443.5,180000
0,315000,272520,16803,225000
1,90000,474408,24349.5,396000
0,90000,296280,23409,225000
2,67500,135000,11542.5,135000
1,135000,539100,27652.5,450000
0,112500,739440,23980.5,585000
1,135000,237024,17374.5,180000
0,157500,540000,22878,540000
0,292500,732915,86980.5,675000
0,265500,534204,37309.5,495000
0,157500,595453.5,28777.5,445500
4,157500,301464,22068,238500
0,112500,194922,15759,157500
0,247500,338832,26901,292500
0,157500,725328,27472.5,540000
0,112500,710640,70416,675000
0,202500,332946,16146,238500
0,135000,248877,12834,189000
2,180000,630000,32296.5,630000
0,67500,312840,24844.5,247500
0,112500,278460,21676.5,225000
0,180000,399559.5,36774,342000
0,85500,52128,5602.5,45000
0,117000,473841,37566,387000
0,135000,450000,35554.5,450000
0,157500,130320,13018.5,112500
0,112500,481320,20362.5,315000
1,67500,270000,17383.5,270000
0,315000,792162,40446,630000
0,135000,301464,19395,238500
1,180000,1066320,38299.5,900000
1,135000,352422,27400.5,315000
0,270000,104256,10813.5,90000
1,360000,746280,59094,675000
0,216000,900000,46084.5,900000
1,225000,983160,62964,900000
0,180000,1298970,46786.5,1147500
0,247500,450000,32877,450000
0,90000,285430.5,22234.5,255123
0,180000,543037.5,43033.5,463500
0,103500,248760,25488,225000
0,180000,582804,31747.5,463500
1,256500,746280,41670,675000
0,85500,295168.5,16141.5,238500
1,157500,382500,19660.5,382500
0,58500,207396,10719,157500
0,180000,790830,62613,675000
0,360000,1350000,46926,1350000
0,99000,149256,17712,135000
0,121500,945000,33943.5,945000
0,171000,332946,14796,238500
0,315000,1800000,56002.5,1800000
1,157500,499221,25618.5,373500
1,180000,218907,24885,198000
0,135000,225000,17775,225000
0,189000,832500,64557,832500
0,112500,900000,29034,900000
0,315000,804420,33327,706500
0,67500,238500,13819.5,238500
0,180000,379876.5,19422,317092.5
1,103500,67500,7218,67500
0,135000,272520,21658.5,225000
1,1350000,1885536,103455,1800000
0,153000,254700,18531,225000
0,81000,431280,22018.5,360000
1,135000,539100,29376,450000
0,220500,729792,37390.5,630000
0,180000,156384,16969.5,135000
0,157500,1928304,79708.5,1800000
2,108000,119893.5,12717,103500
2,432000,305640,32094,270000
1,202500,285264,29952,252000
0,90000,179865,14341.5,148500
1,171000,900000,46084.5,900000
0,382500,1347750,43605,1125000
1,157500,420588,38574,360000
1,180000,315000,16213.5,315000
0,202500,540000,34510.5,540000
1,450000,790830,62613,675000
0,112500,450000,35554.5,450000
0,135000,360000,23026.5,360000
0,153000,149256,15421.5,135000
0,180000,361998,14935.5,292500
0,157500,1107900,35739,900000
0,135000,495000,38304,495000
0,225000,154066.5,7996.5,117000
0,157500,670401,24210,553500
2,90000,296280,23539.5,225000
0,81000,248760,25618.5,225000
0,112500,383760,41328,360000
0,135000,274500,14143.5,274500
0,292500,500490,48888,450000
0,112500,418500,24156,418500
0,101250,296280,18256.5,225000
1,180000,431280,22149,360000
0,202500,156384,18688.5,135000
0,54000,225000,20637,225000
0,157500,675000,34596,675000
1,162000,582804,25803,463500
1,135000,398160,29101.5,315000
1,121500,112500,11943,112500
0,261000,1676520,52168.5,1498500
0,180000,667237.5,28399.5,576000
0,135000,781920,34573.5,675000
1,157500,135000,10665,135000
2,157500,703728,36058.5,607500
0,247500,552555,30105,477000
0,180000,790830,45531,675000
0,135000,1057266,44923.5,945000
0,126000,481176,24696,360000
0,112500,900616.5,32476.5,670500
0,225000,573408,29407.5,495000
0,76500,270000,12987,270000
0,450000,1231501.5,39726,949500
0,121500,117000,12415.5,117000
1,90000,405000,19480.5,405000
1,135000,208512,21892.5,180000
0,157500,52128,6313.5,45000
0,112500,558706.5,43366.5,495000
2,135000,369720,23755.5,292500
0,220500,1094688,39321,945000
0,157500,225000,17775,225000
0,180000,296280,23539.5,225000
0,225000,493204.5,25312.5,369000
1,126000,177768,10332,135000
2,67500,130320,14161.5,112500
0,90000,146038.5,7024.5,110902.5
0,270000,729792,37390.5,630000
1,112500,525735,36720,450000
0,207000,450000,23107.5,450000
1,180000,182448,21780,157500
0,274500,769500,32733,769500
0,180000,601470,30838.5,450000
0,112500,332946,17127,238500
0,148500,407520,25060.5,360000
0,135000,964575,31113,675000
0,315000,732915,77089.5,675000
2,360000,280170,28836,247500
0,112500,130320,13482,112500
1,76500,126000,6192,126000
0,76500,281938.5,21946.5,252000
0,121500,450000,35685,450000
0,157500,225000,23184,225000
0,180000,323460,26064,270000
0,112500,164182.5,17811,148500
1,225000,523152,48114,463500
0,234000,314055,13329,238500
1,90000,234000,18238.5,234000
1,270000,324216,23719.5,256500
0,135000,225000,11488.5,225000
0,90000,225000,16371,225000
1,135000,817560,30820.5,675000
0,292500,1441687.5,46638,1237500
1,157500,104256,11074.5,90000
0,247500,964575,31113,675000
3,202500,224149.5,23665.5,193500
0,90000,360000,22153.5,360000
0,67500,52128,5472,45000
0,540000,1096020,52857,900000
0,112500,63000,6745.5,63000
2,135000,225000,17775,225000
0,54000,99504,10192.5,90000
0,144000,1024740,43416,900000
0,72000,104256,10813.5,90000
2,85500,254700,20119.5,225000
1,225000,685386,43933.5,585000
2,180000,550980,43659,450000
0,112500,1092190.5,46404,927000
0,315000,215865,26856,202500
0,225000,493497,51952.5,454500
1,193500,366588,28498.5,306000
0,180000,677664,28840.5,585000
0,202500,201663,13018.5,166500
1,67500,247500,12037.5,247500
1,202500,440784,34956,360000
0,72000,454500,19255.5,454500
0,225000,149256,17712,135000
1,225000,735579,40032,585000
1,180000,334152,17190,270000
0,247500,824544,46170,720000
0,90000,245002.5,26514,211500
0,247500,495000,50719.5,495000
2,112500,315000,25015.5,315000
2,90000,286704,18450,247500
0,135000,400500,25722,400500
0,135000,358344,28440,283500
2,270000,790830,,675000
0,90000,90000,6961.5,90000
1,90000,711747,45616.5,607500
0,202500,1434955.5,98550,1354500
2,90000,853200,27652.5,675000
0,225000,509400,40374,450000
0,72000,675000,24376.5,675000
0,157500,301464,19413,238500
0,135000,675000,38880,675000
